"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","cohort","significant"
-0.1402692482,0.420149223111111,-0.712959441300525,0.491953584885616,0.787594263040687,-5.14357483227595,"1600012H06Rik","GSE41345",FALSE
-0.19535328355,0.449835305222222,-1.90846202240449,0.0850194208683837,0.573793150721065,-4.06701949389652,"1600014C10Rik","GSE41345",FALSE
-0.0890979644499997,-0.302088008111111,-0.889125653570922,0.394541244000665,0.733184396287367,-5.03129136852201,"1700007G11Rik","GSE41345",FALSE
0.0429022556999997,-0.316089856,0.294116833285199,0.774601867695387,0.923474975865709,-5.31837213823813,"1700009P17Rik","GSE41345",FALSE
-0.0439632676000003,0.575789515555556,-0.456346770134575,0.657760066882582,0.866553044980333,-5.26702690939479,"1700019D03Rik","GSE41345",FALSE
-0.0366728166000054,1.962876973,-0.606887613471101,0.557270434592878,0.816045824259634,-5.20063651425483,"1700021F05Rik","GSE41345",FALSE
0.0351349525500006,0.765581309666667,0.479935868783405,0.641458608842133,0.85805723193392,-5.25779152591085,"1700021K19Rik","GSE41345",FALSE
-0.13513040475,1.07809614533333,-1.45028537354742,0.177200130825672,0.590052931837169,-4.55244339038644,"1700025G04Rik","GSE41345",FALSE
0.1892622189,0.860252651333333,2.65326398458084,0.0239149216239417,0.537623773850961,-3.20569980112574,"1700029P11Rik","GSE41345",FALSE
-0.07414613745,0.166312613333333,-1.21052475201602,0.253540790942295,0.641105786819756,-4.77673149690808,"1700030J22Rik","GSE41345",FALSE
-0.00643136089999997,0.527662253777778,-0.0994040547776987,0.922755446228863,0.979969388238064,-5.35107100608959,"1700030K09Rik","GSE41345",FALSE
0.0542497725499987,2.39080557822222,0.788963505742897,0.448188905676236,0.759736689521095,-5.09772489263551,"1700037H04Rik","GSE41345",FALSE
-0.134184856400001,1.55096716144444,-1.92483305629366,0.08274185359815,0.573793150721065,-4.04869888924143,"1700052N19Rik","GSE41345",FALSE
0.0503556360499998,0.972978767888889,0.674159007633991,0.515285884605817,0.798537035531395,-5.16540208018967,"1700088E04Rik","GSE41345",FALSE
