gene,log2FC_BaP_vs_Control,welch_p,n_bap,n_control,BH_p
Epha5,0.5074611525000003,0.027355246757335142,4,4,0.7530269714782597
Gm55040,-0.14348818249999998,0.027385728650373288,4,4,0.7530269714782597
Gm4613,-0.14348818249999998,0.027385728650373288,4,4,0.7530269714782597
4930481A15Rik,-0.27179257375,0.027386633803013215,4,4,0.7530269714782597
Filip1,0.4356372271250001,0.02741146901676177,4,4,0.7530269714782597
Mat2b,0.1736272539999999,0.027415133274611266,4,4,0.7530269714782597
Hilpda,0.1642789666250004,0.027423460735302684,4,4,0.7530269714782597
Gm70482,0.20361398075,0.02742527647924814,4,4,0.7530269714782597
Gm13058,0.20361398075,0.02742527647924814,4,4,0.7530269714782597
Gm13100,0.20361398075,0.02742527647924814,4,4,0.7530269714782597
Lct,0.7338724879999994,0.027430418996054973,4,4,0.7530269714782597
Cd226,0.15084408937499993,0.02744288175281562,4,4,0.7530269714782597
4933411O13Rik,0.1884120785,0.027461714858238864,4,4,0.7530269714782597
Gm36012,0.33758320875000003,0.027486456155923808,4,4,0.7530269714782597
Prr33,-0.3037208092499999,0.027531165392905163,4,4,0.7530269714782597
Bcl9,0.252160225375,0.027590251216839563,4,4,0.7530269714782597
Mettl27,-0.12046189049999989,0.02761257737795608,4,4,0.7530269714782597
Cx3cr1,-0.3087737654999998,0.02763956419880889,4,4,0.7530269714782597
Ddx31,-0.17742546712499996,0.02764843847068181,4,4,0.7530269714782597
Dhrs2,-0.20837474000000003,0.027744710059153774,4,4,0.7530269714782597
Gm57157,-0.10177326675000001,0.027755023842349548,4,4,0.7530269714782597
Mmp11,-0.29574851212499986,0.027774105166288043,4,4,0.7530269714782597
Rsrp1,-1.6893714859999998,0.02780586049071061,4,4,0.7530269714782597
2510039O18Rik,0.200938085,0.02781592850995897,4,4,0.7530269714782597
Cldn6,0.1875333475,0.02785369039032094,4,4,0.7530269714782597
Josd1,-0.11798935275,0.02785990607280444,4,4,0.7530269714782597
Pou2f1,0.17804923525,0.027878807043893068,4,4,0.7530269714782597
Gm5943,0.22209590775,0.027903503522387657,4,4,0.7530269714782597
Dynlt2a3,0.18415072199999982,0.02797069343103427,4,4,0.7530269714782597
Mical1,-0.30910845725,0.028004849960236267,4,4,0.7530269714782597
4930547H16Rik,0.20109188975000003,0.028009904048443817,4,4,0.7530269714782597
Smtn,-0.1671832984999999,0.028020022825913874,4,4,0.7530269714782597
Dsg1b,0.09695980900000001,0.028020527732600366,4,4,0.7530269714782597
Or8g23,-0.19322582225000004,0.02802580171216855,4,4,0.7530269714782597
Gm7275,-0.15061897825,0.028035175724611963,4,4,0.7530269714782597
Ang4,0.14389070775,0.028051435697893395,4,4,0.7530269714782597
Asic1,-0.16976814200000012,0.02805658073520727,4,4,0.7530269714782597
Gm74072,0.41527279275000006,0.028064079199867326,4,4,0.7530269714782597
Gm5356,0.25791051649999996,0.02808768845545387,4,4,0.7530269714782597
9930014A18Rik,0.43353299362499986,0.02817464446055617,4,4,0.7538022303859805
Syndig1,0.19549856924999998,0.028245398471359234,4,4,0.7538022303859805
Asxl1,-0.14524568825,0.02824610021804778,4,4,0.7538022303859805
Hipk2,0.17907797287499996,0.028260221977632543,4,4,0.7538022303859805
Or51k1,0.26656054500000004,0.02830200594944391,4,4,0.7538022303859805
Gm49893,0.24272782925000003,0.028308587907605896,4,4,0.7538022303859805
Oard1,0.24272782925000003,0.028308587907605896,4,4,0.7538022303859805
Gm2814,0.285674539375,0.0283146096520082,4,4,0.7538022303859805
Mrgpra4,0.28180667225,0.028399578506312403,4,4,0.7543633544422349
Pde8b,-0.09488683812499987,0.02845855914001517,4,4,0.7543633544422349
Rbis,-0.27221801700000015,0.028468585563258535,4,4,0.7543633544422349
Gm5093,-0.29538817949999996,0.02846956745793283,4,4,0.7543633544422349
A730049H05Rik,-0.33536778675,0.028489944151747538,4,4,0.7543633544422349
Gm59535,-0.14661979849999998,0.02854784609744193,4,4,0.7543633544422349
Cntnap5b,0.25372281537499997,0.028552882220955794,4,4,0.7543633544422349
Lrsam1,-0.22133504524999997,0.028607106198486686,4,4,0.7543633544422349
Lcn3,-0.2453111925,0.028611231157994934,4,4,0.7543633544422349
Gm3604,0.26930324625000013,0.028625872211124195,4,4,0.7543633544422349
Ssxb10,0.23075812,0.028647816172723287,4,4,0.7543633544422349
Cd8a,-0.11454015662500003,0.02880224913652981,4,4,0.7543633544422349
Atp2b1,0.4463304237500001,0.0288421538521477,4,4,0.7543633544422349
Or4c58,0.22018370124999997,0.028877124019454206,4,4,0.7543633544422349
Pml,-0.19136981612499993,0.028926283325004902,4,4,0.7543633544422349
H1f5,-0.5125574999999998,0.02893353269828313,4,4,0.7543633544422349
Commd7,-0.19057314699999997,0.02896768737597512,4,4,0.7543633544422349
4833407H14Rik,-0.06364534487500001,0.028978199832099597,4,4,0.7543633544422349
Gm43661,-0.141677922,0.028985695485515602,4,4,0.7543633544422349
2210039B01Rik,-0.192569267,0.028999606160940633,4,4,0.7543633544422349
Gm8231,0.12112157475000007,0.02899993459672079,4,4,0.7543633544422349
Pcdhb13,0.2691334889999999,0.02902095339300157,4,4,0.7543633544422349
Alppl2,0.20154350099999996,0.02904761556576538,4,4,0.7543633544422349
Brpf3,-0.3206402105000001,0.029048493929477694,4,4,0.7543633544422349
Gm37108,-0.13940558174999995,0.0290978394038463,4,4,0.7543633544422349
Gm11353,-0.13940558174999995,0.0290978394038463,4,4,0.7543633544422349
Gm17066,0.217853969875,0.029103989646233393,4,4,0.7543633544422349
BC065397,-0.27375181575000007,0.029120179058118013,4,4,0.7543633544422349
Zfp871,0.22727634025,0.029191117696580532,4,4,0.7543633544422349
