"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.06271556574608e-41,0.717276567742947,0.615,0.277,6.91793546439919e-37,"18","CAP2"
2.09170428407482e-41,0.71243164692911,0.766,0.379,7.01515782793013e-37,"18","ATP2B2"
2.33079844816623e-41,1.01078380112832,0.38,0.137,7.81703183545989e-37,"18","RSPO2"
2.75236742807286e-41,1.19051694572268,0.344,0.119,9.23088988027077e-37,"18","AC011330.3"
2.80072512874671e-41,0.686451646375685,0.629,0.292,9.39307193679071e-37,"18","AC007388.1"
3.00167224873031e-41,0.905024048843092,0.451,0.173,1.00670083877917e-36,"18","NIPAL2"
3.71901667200466e-41,1.18351542949284,0.298,0.093,1.24728381145692e-36,"18","AC020911.2"
4.35534410822633e-41,1.3678782362646,0.285,0.09,1.46069530701695e-36,"18","LINC00159"
6.60933995968051e-41,0.920769133600366,0.346,0.121,2.21664043567765e-36,"18","TMEM266"
7.90102369671293e-41,0.888335763893876,0.532,0.232,2.64984532740358e-36,"18","ICA1"
8.21310992639954e-41,0.762543670629046,0.683,0.333,2.75451280711588e-36,"18","FP700111.1"
8.73313112161664e-41,1.30130866176239,0.332,0.112,2.92891751556779e-36,"18","LINC01378"
9.78569617907643e-41,1.11404025446823,0.254,0.073,3.28192678453865e-36,"18","MGST2"
1.35594218928825e-40,1.13439933934987,0.276,0.084,4.54755891443492e-36,"18","LCA5"
1.68502711117715e-40,0.663105433035638,0.729,0.356,5.65124392546592e-36,"18","NMNAT2"
1.73368554401075e-40,0.954403045826245,0.42,0.162,5.81443457750325e-36,"18","SLC7A14"
1.84282606277912e-40,0.53761205124395,0.966,0.763,6.18047004934862e-36,"18","ANK2"
2.18682995084277e-40,0.814144004747193,0.478,0.195,7.33419028913649e-36,"18","CCSAP"
2.98339460602646e-40,1.34052361757474,0.359,0.131,1.00057088296915e-35,"18","RPGRIP1L"
3.952041185125e-40,0.842691446968858,0.4,0.15,1.32543557266722e-35,"18","SLC45A4"
4.07498262363558e-40,0.938060730631759,0.254,0.074,1.3666676723149e-35,"18","EMB"
4.64032762863434e-40,1.34587413521176,0.38,0.144,1.55627308009139e-35,"18","AC092378.1"
4.72705198844395e-40,0.732473588251306,0.639,0.313,1.58535869588433e-35,"18","USP25"
5.24182643057961e-40,1.29287459593197,0.302,0.098,1.75800374828779e-35,"18","GFRA2"
5.55998739547598e-40,0.989418313281066,0.427,0.169,1.86470857269474e-35,"18","BCAP29"
6.1662200809636e-40,0.764231373493094,0.417,0.162,2.06802689075357e-35,"18","GMPS"
6.59677396800701e-40,0.633824316545027,0.795,0.439,2.21242605339019e-35,"18","HECW2"
6.67422098376744e-40,0.6633782340059,0.656,0.308,2.23840023353592e-35,"18","CACNG8"
7.89320892773883e-40,0.645277358292939,0.715,0.368,2.64722441018505e-35,"18","CDH2"
8.04395730727381e-40,0.683571227193546,0.417,0.156,2.69778240171349e-35,"18","LRRK1"
8.5792031203272e-40,0.628074843220649,0.622,0.298,2.87729314249534e-35,"18","FBXO34"
9.88673788110899e-40,1.03278366682843,0.307,0.101,3.31581415056633e-35,"18","ITGA3"
1.00618727224978e-39,0.630212061162524,0.659,0.317,3.37455087367131e-35,"18","GCC2"
1.01673548785e-39,0.677363063838137,0.717,0.369,3.40992747915132e-35,"18","ADAM22"
1.07166293077513e-39,0.723586882462127,0.759,0.404,3.59414313723364e-35,"18","TSC22D1"
1.22535748749143e-39,0.745130452536848,0.446,0.179,4.10960394154875e-35,"18","CRY2"
1.32666188632474e-39,0.603484982101823,0.463,0.187,4.4493586343559e-35,"18","LRRK2"
1.48263048607449e-39,0.519233640914117,0.993,0.61,4.97244612419662e-35,"18","DLGAP1"
1.8693448383815e-39,0.637262127314293,0.734,0.378,6.26940871896388e-35,"18","SCAI"
2.5352380470593e-39,0.803463298266822,0.38,0.139,8.50268136222748e-35,"18","TRPC5"
2.61692805070481e-39,0.541494600685493,0.717,0.354,8.77665329645379e-35,"18","FARP1"
3.73051486543913e-39,0.509431295529362,0.827,0.433,1.25114007557098e-34,"18","RAPGEF5"
3.86192988137073e-39,0.711867377627512,0.529,0.232,1.29521404361412e-34,"18","CRIM1"
4.0866563938168e-39,0.83494970176989,0.456,0.185,1.37058282135828e-34,"18","IQSEC2"
4.90419796961426e-39,0.733136183317254,0.449,0.179,1.64476991504923e-34,"18","DLGAP3"
5.12797594750139e-39,0.690948658317909,0.724,0.375,1.71982057327302e-34,"18","CERS6"
5.30254360603596e-39,0.792360778618346,0.427,0.17,1.77836707459234e-34,"18","KIF5A"
5.61243412938934e-39,0.852932913322537,0.366,0.132,1.8822981583146e-34,"18","CCNYL1"
7.3976948711563e-39,1.03740382735428,0.398,0.154,2.4810389058884e-34,"18","SULT1A1"
8.5109066723791e-39,1.19246306979218,0.268,0.083,2.8543878797825e-34,"18","PLEKHG5"
9.93746056900766e-39,0.890219816477536,0.407,0.157,3.33282552563379e-34,"18","GLIS1"
9.94993360659007e-39,1.15747519235641,0.434,0.181,3.33700873297818e-34,"18","CLVS2"
1.29931675237645e-38,1.37076122025869,0.293,0.096,4.35764852412012e-34,"18","AC008591.1"
1.44781946432203e-38,0.595318781669576,0.788,0.405,4.85569691944322e-34,"18","RAPGEF4"
1.58296152665437e-38,0.658815340037806,0.727,0.344,5.30893636809344e-34,"18","KSR2"
1.70906028326073e-38,0.611705516858149,0.449,0.181,5.73184637799983e-34,"18","PFKP"
1.76326341479387e-38,1.26589022327653,0.254,0.076,5.91363284053567e-34,"18","SYT5"
1.88221038752507e-38,0.823288185324698,0.49,0.21,6.31255719768157e-34,"18","LMO3"
1.97435314934849e-38,1.04634760662435,0.424,0.168,6.62158559228498e-34,"18","LRRC6"
2.19660063403997e-38,0.933918824124195,0.346,0.123,7.36695920644326e-34,"18","COL4A2"
2.21565281516365e-38,0.720438386430768,0.546,0.243,7.43085641149586e-34,"18","JUND"
2.41034563923696e-38,0.601867161979168,0.539,0.231,8.08381720487293e-34,"18","CCDC85A"
2.41384691071628e-38,0.602476221136009,0.302,0.098,8.09555976916027e-34,"18","MIR222HG"
2.80967641214447e-38,0.839248876443281,0.651,0.339,9.42309275105014e-34,"18","LINC00882"
3.95023981535546e-38,0.65003547776745,0.902,0.582,1.32483142927392e-33,"18","MYCBP2"
4.14713597241793e-38,0.72449552720258,0.544,0.245,1.39086646242953e-33,"18","MTCL1"
4.24914252594338e-38,0.919099840045192,0.412,0.164,1.42507742035089e-33,"18","PTPN5"
5.67426178983444e-38,0.775591764665665,0.493,0.217,1.90303391907467e-33,"18","IRAK1BP1"
6.30390827582658e-38,0.767907931495242,0.61,0.293,2.11420475754672e-33,"18","TARBP1"
6.60577594089784e-38,0.709161644251582,0.463,0.191,2.21544513505832e-33,"18","MPPED1"
6.8627134649632e-38,0.842027950158811,0.415,0.164,2.30161684187936e-33,"18","IFT122"
6.86948891766372e-38,0.502236911903293,0.898,0.481,2.30388919320606e-33,"18","ATRNL1"
7.22694046004483e-38,0.841164472750757,0.454,0.191,2.42377129148984e-33,"18","SNX32"
7.49616597320074e-38,0.575242121380268,0.298,0.096,2.51406414409206e-33,"18","FADS3"
9.29427141507852e-38,0.79416100608659,0.515,0.228,3.11711274718903e-33,"18","LIPE-AS1"
9.68517828009327e-38,0.666180146376144,0.637,0.311,3.24821509157768e-33,"18","SMAP1"
1.05177740493564e-37,0.819390567676491,0.329,0.115,3.52745106067315e-33,"18","TMEM150C"
1.15381229485968e-37,0.58941449302863,0.554,0.249,3.86965567450039e-33,"18","SLC38A1"
1.21679827621454e-37,1.11961012173731,0.28,0.089,4.08089805876833e-33,"18","CDH7"
1.22016810688318e-37,0.666252545548053,0.771,0.425,4.0921997968648e-33,"18","PCNX2"
1.3740692773173e-37,1.17027072569204,0.337,0.121,4.60835354226675e-33,"18","PSD"
1.54283753148125e-37,0.839379345154617,0.485,0.205,5.17436851308182e-33,"18","DIRC3"
2.31503959688485e-37,0.846670208307956,0.515,0.235,7.7641798000324e-33,"18","HPRT1"
2.77177928272405e-37,0.956135384106218,0.276,0.088,9.29599335839991e-33,"18","KIF21B"
3.81442103173453e-37,0.632430236614412,0.537,0.244,1.27928052562313e-32,"18","ZNF827"
3.94296442628166e-37,0.756682587095732,0.254,0.076,1.32239140928634e-32,"18","ADRA1B"
4.11773008236916e-37,0.706644334521969,0.49,0.212,1.38100431502497e-32,"18","ZDBF2"
4.33355630725822e-37,0.630825405399853,0.62,0.299,1.45338811432826e-32,"18","RAB28"
4.33785724187971e-37,1.12743984096168,0.298,0.1,1.45483056178162e-32,"18","IGFL4"
4.54739424904607e-37,0.544804638180147,0.732,0.375,1.52510508324507e-32,"18","OSBPL6"
4.57915253911554e-37,0.928004786699916,0.351,0.129,1.53575617856857e-32,"18","CADM3"
4.98783146618761e-37,0.556773549492259,0.495,0.213,1.67281891713e-32,"18","HIC2"
6.05069327674011e-37,0.553355647865529,0.683,0.331,2.0292815111531e-32,"18","ZFPM2"
6.19706504266629e-37,0.678457189894086,0.505,0.219,2.07837167400942e-32,"18","AC087500.1"
6.86236928534542e-37,0.731985931348778,0.705,0.369,2.30150141091915e-32,"18","LRRTM3"
6.91148068285065e-37,0.529419656990231,0.898,0.606,2.31797239141445e-32,"18","MIR99AHG"
6.99792340280111e-37,0.759254716614649,0.502,0.223,2.34696355083144e-32,"18","FBXO16"
7.56321080572057e-37,0.756688215014617,0.4,0.157,2.53654964002256e-32,"18","SLC25A42"
