"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
0.348210794736478,6.83738904713215,2.88461679822433,0.00679601413153874,0.0374970451480852,-2.93912086137198,"2310039H08Rik"
0.10429535664815,7.2542298524825,1.22604448560448,0.228710692164872,0.42450073382032,-5.95798837523722,"2310047M10Rik"
0.207684882772792,5.40006635528072,1.40436984356713,0.169391127032217,0.348542226209675,-5.7319063251598,"2310067B10Rik"
-0.0566133845484886,7.58462532779478,-0.510403666381833,0.613107701110601,0.758655217080215,-6.57209557350082,"2410002F23Rik"
0.0521216229906722,9.19933316958005,0.586217400871163,0.561649527116362,0.726069870609539,-6.53030068724916,"2410015M20Rik"
-0.143153698959388,6.58824084119948,-1.81875137917083,0.077877652812356,0.210306960137066,-5.10439570165804,"2410016O06Rik"
-0.202994226630396,9.7627270302704,-3.26224767652503,0.0025407155604869,0.0176485242032168,-2.0244175430374,"2510003E04Rik"
-0.0901163471154806,8.62990256195197,-0.725929131110703,0.47291179322095,0.658083381129484,-6.43850866099832,"2510009E07Rik"
0.343633237024839,8.25363935941898,4.39072508067534,0.000106477054356391,0.00147546262745309,0.994825218285533,"2610002J02Rik"
-0.201890070526662,5.36871043763276,-2.3012103009261,0.0277179164393173,0.103312234001092,-4.21201093715217,"2610034M16Rik"
0.0673634325004635,7.44503479152468,0.846656277086242,0.40318037682469,0.601016447037219,-6.34397256677122,"2610301B20Rik"
0.180243552002423,8.95394846199959,1.64866162650493,0.108543098491754,0.263978885451937,-5.37859589597921,"2610507B11Rik"
-0.0051899196619767,6.78023912391788,-0.0441940916061973,0.965011452825968,0.98100988370632,-6.7027451256727,"2610524H06Rik"
0.0399812181477805,10.8846859861874,0.634768248793159,0.529881080137536,0.704877416811816,-6.50056345269209,"2700060E02Rik"
0.213553312566042,8.341863460611,2.08342609788017,0.0448981072978459,0.145443959163569,-4.6347782884467,"2700094K13Rik"
0.0806734516956072,6.36200361138578,0.73782461997322,0.465746130379055,0.652613985968762,-6.42981624873264,"2700097O09Rik"
-0.0251420437278559,7.42867795828699,-0.292156705573712,0.77196430550255,0.868724927357522,-6.66049074193404,"2810403A07Rik"
0.169162738593272,8.03232826099674,1.63699066173067,0.11097159932277,0.268278895198815,-5.39658071579965,"2810428I15Rik"
-0.164206437973703,9.93455133716437,-2.58373748246391,0.0143046601288345,0.0642372226444457,-3.61928564762503,"2900011O08Rik"
-0.152882346316511,6.13329419709531,-1.57569075073383,0.124472691571196,0.289804147550112,-5.4892507372484,"3010026O09Rik"
0.187935193886031,5.99328570181709,1.48040952334555,0.148086221840293,0.321351220797106,-5.6272178637942,"3110009E18Rik"
-0.337380472985082,10.3182627981043,-4.41679448683234,9.86795581960235e-05,0.00139395241451694,1.06803912842098,"3110035E14Rik"
0.118432916490675,6.25180674257919,1.70983532006955,0.0965230052996431,0.244605786797035,-5.28256554711522,"3110040N11Rik"
-0.20997079237783,6.18949523717779,-2.79799210981374,0.00845286686143199,0.0440369913039272,-3.13972422561703,"3110057O12Rik"
-0.045600495997132,6.03528346336817,-0.574995275153816,0.569127359366394,0.731051776180521,-6.5368447821993,"3110082I17Rik"
-0.037972160033483,7.04790619293887,-0.512460052643666,0.611683571503601,0.758193024266305,-6.57103688473918,"3632451O06Rik"
-0.226656581783608,8.09998625195105,-2.5528707645075,0.0154051554188854,0.068207373816891,-3.68631834373997,"3830406C13Rik"
-0.0101163834627179,8.09624084742476,-0.15992792212559,0.873895995555321,0.930216957717261,-6.6907657275599,"4833420G17Rik"
-0.115085459315058,8.27962292469963,-1.58140042312683,0.123161030356471,0.287679979660806,-5.48074715901452,"4833424O15Rik"
-0.00241841223743911,9.85660753954517,-0.0275951945258149,0.97814836385433,0.986955221872226,-6.7033496119901,"4833439L19Rik"
0.0328427016120808,8.10946068691563,0.404392802862912,0.688488173075861,0.814651773069349,-6.62097956544379,"4930402H24Rik"
0.0562853389957225,7.97763058015689,0.858527476990594,0.396688236422665,0.594148730703742,-6.33392429684356,"4930453N24Rik"
-0.273701194065752,7.01676247972937,-2.97102653688517,0.00545081349326642,0.031889155970467,-2.73540795890762,"4930506M07Rik"
-0.0436828385926832,5.77168106770481,-0.463575991881118,0.64594247484724,0.783238254545475,-6.59506812246515,"4930539E08Rik"
0.199479972986824,7.77106822243425,2.491136703126,0.0178430525706379,0.0753622396262369,-3.81875679138236,"4931406C07Rik"
0.0038427732320268,7.27126376619685,0.0469158110090665,0.962858242627916,0.980293373697572,-6.7026193353898,"4931406P16Rik"
-0.090387822500933,7.99631400810452,-1.1750535192396,0.248238363996964,0.448540461381779,-6.01750446088477,"4933411K20Rik"
0.0564318455495676,6.60880758973707,0.584770589699854,0.562610812155258,0.726211712928111,-6.53115134198846,"4933426M11Rik"
0.236543178340824,6.29262889660335,2.2304556427482,0.0325094067710033,0.115210778879951,-4.35277820821983,"4933427D14Rik"
0.131278326137896,2.83669989831962,0.383283051358661,0.703925745283018,0.826518634100642,-6.62937539560175,"4933428G20Rik"
-0.282157156682658,7.50778722072582,-3.00248744068877,0.00502664388346896,0.0299637885394018,-2.66037503002865,"5730409E04Rik"
0.0193230008592418,2.10616316670856,0.167060024515436,0.868324792013441,0.92710118919116,-6.68958360119492,"6030419C18Rik"
0.17371506494395,10.5827689306589,1.65084264572082,0.108094178904517,0.263342485128251,-5.375222952751,"6330403K07Rik"
-0.0560864737326243,8.97892740665284,-0.620411064058661,0.539175288077306,0.711051510924124,-6.50959787602342,"6430548M08Rik"
-0.267198765158622,5.64878163638847,-2.78482903182084,0.00873546189217439,0.0450899681082159,-3.16987982077355,"6430573F11Rik"
-0.00318188724600938,8.52492694898532,-0.0396776448044874,0.96858509065261,0.983009581839628,-6.70293728205255,"8430419L09Rik"
0.0256911517337575,7.57704826235778,0.336942543991208,0.738257114771113,0.84807075849447,-6.64624050257217,"9030624J02Rik"
-0.0799121916968689,5.13137334026412,-0.633674456988003,0.530586147591241,0.705135049131808,-6.50125883397938,"9130011E15Rik"
-0.174805643396987,5.19111697436013,-1.82356681141236,0.0771293446674452,0.208851467810189,-5.09630956909002,"9430015G10Rik"
