gene_symbol,tier,sources
RAN,C,ChEMBL
RAPGEF4,C,SwissTargetPrediction
RARB,B,PharmMapper
RARG,B,PharmMapper
RBP4,C,PharmMapper
RELA,C,SwissTargetPrediction
RIPK1,C,SwissTargetPrediction
RNUT1,C,ChEMBL
RXRB,B,PharmMapper
SAPK2A,C,ChEMBL
SERT,C,ChEMBL
SHBG,C,PharmMapper;SwissTargetPrediction
SIGMAR1,C,ChEMBL
SIRT5,C,SwissTargetPrediction
SKR,C,ChEMBL
SLC21A6,C,ChEMBL
SLC21A8,C,ChEMBL
SLC25A21,C,SwissTargetPrediction
SLC6A2,C,ChEMBL;SwissTargetPrediction
SLC6A3,C,ChEMBL;SwissTargetPrediction
SLC6A4,C,ChEMBL;SwissTargetPrediction
SLC6A5,C,ChEMBL
SLCO1B1,C,ChEMBL
SLCO1B3,C,ChEMBL
SLK,C,ChEMBL
SMAD3,C,ChEMBL
SMPD1,C,ChEMBL
SNUPN,C,ChEMBL
SPN1,C,ChEMBL
SPR,C,ChEMBL
SQOR,C,SwissTargetPrediction
STS,B,PharmMapper
SULT2A1,B,PharmMapper
T200,C,ChEMBL
TAC1R,C,ChEMBL
TAC2R,C,ChEMBL
TACR1,C,ChEMBL
TACR2,C,ChEMBL
TBXAS1,C,ChEMBL
TERT,C,SwissTargetPrediction
TRPA1,C,SwissTargetPrediction
TXAS,C,ChEMBL
TXN,C,SwissTargetPrediction
TXS,C,ChEMBL
VDR,C,PharmMapper
VEGFR1,C,ChEMBL
VIPR1,C,ChEMBL
VPAC1R,C,ChEMBL
