,GSM1412394,GSM1412395,GSM1412396,GSM1412397,GSM1412398,GSM1412399,GSM1412400,GSM1412401,GSM1412402,GSM1412403,GSM1412404,GSM1412405,GSM1412406,GSM1412407,GSM1412408,GSM1412409,GSM1412410,GSM1412411,GSM1412412,GSM1412413,GSM1412415,GSM1412417,GSM1412420,GSM1412422,GSM1015323,GSM1015324,GSM1015325,GSM1015326,GSM1015331,GSM1015332,GSM1015333,GSM1015334,GSM1015335
1700030K09Rik,6.06860805022412,6.00864404968967,6.4069675764195,6.13826952929321,6.32767619882535,6.06249258867263,6.17535401140137,6.21849261366612,6.28890700953382,6.38783657135901,5.95830127971317,6.11026087992655,6.16496459866744,5.61902455820452,6.17771471229358,6.07709023711215,6.13391774450006,6.43593130611524,6.12119287436168,6.07101034325665,6.12388971916066,6.02555592620731,6.11246573356301,6.27481520368332,6.17843571092989,6.26422948766655,6.19911683965153,6.05476555728221,6.31502273329336,6.13416445084444,5.86579707676242,6.18334764841301,6.23031745278201
1700037H04Rik,8.09246825011144,7.32712226388207,7.62174053469057,7.78293657162072,7.86308230477782,7.82116534990714,7.83052506599663,7.74918761914299,7.78429952986379,7.69535085182635,7.67248643859284,7.90894171635113,7.7303412049649,7.9045164268301,7.71385075134756,7.60301403086386,7.72941830550931,8.21699187191979,7.91870073132379,7.90693436979697,7.82425440478596,8.03609016844614,7.59608837880514,8.00313358607423,7.71973528885178,7.64454680310534,8.0343912240869,7.87913361482767,7.63187705988791,7.9008618270566,7.75447874062693,7.93642792059958,7.60789693486266
1700052N19Rik,7.34421148667261,7.50170802428921,7.32875590839833,7.22246842890869,7.25736045515739,7.33561982730966,7.49863370612398,7.50574036712293,7.57905697293182,7.44627750458478,7.75637279698682,7.40249683414951,7.43938455135804,7.3165383533709,7.08164189507633,6.9763208721164,7.53866151103772,7.37322033089895,7.23736877016984,7.63279503396953,7.51297304373559,7.2274335808852,7.14102471326657,7.09594238496577,7.37417460662796,7.49034222495055,7.02552291660112,7.42737807953986,7.57409290907238,7.29224874033585,7.49334850609056,7.52054596960001,7.40846942016778
1700088E04Rik,5.55192915376746,5.68672693941948,6.03160513367713,5.66482182308648,5.99194580860231,5.89684047858625,5.94538967788136,5.44568323483063,6.20058760054616,5.88068656127908,5.67042613093631,5.88535963883493,5.58963246510435,5.61518635539388,6.16099551773064,5.91730632711143,5.89835944085282,4.64523999004057,6.21099000004882,5.64261501349293,5.7079093608832,5.74802195853152,5.89095769473474,6.29787386970876,5.72358619874993,5.72192332389558,6.01434154635749,5.54347725748645,6.0813711914356,5.8914255797055,5.64640059933552,5.51593182265933,5.76837629635154
1700123O20Rik,7.21867993656954,7.1247859624889,7.28250304490388,7.37249184313109,7.35424499261826,7.5486449062402,7.34283747304246,7.37822950596046,7.47381214811327,7.0482018635366,6.94075569070979,7.38125020782639,7.47902832573755,7.48211959265876,7.82041563556191,7.44519631972069,7.82286970173488,7.76978994532822,7.72789675906243,7.45327534017051,7.60264462807152,7.61951641532928,7.68050357448615,7.71436402896532,7.23375526915908,7.27400640855559,7.26531848312859,7.55867804311929,7.64473991505219,7.48725123061792,7.41375054599801,7.32635088508682,7.69979709793006
1810009N02Rik,5.6835811937075,5.26739710107193,5.62207240250113,5.76663179065691,5.65288240778002,5.6514128501989,5.87242644789984,5.54094797949732,5.4931243899566,5.26251710771277,5.6466590032879,5.41096479575378,5.16749733511218,5.65807268132947,6.25385624026968,5.91157132710217,6.10211201402031,4.93680980613868,5.95077064925551,5.75029612890411,6.06693460660712,6.20574381076716,5.62347185447067,6.34967909652607,5.71329832103718,5.67307362728801,5.14151956482482,5.76611851100787,6.03986126345505,5.82531666559402,5.76304933484543,5.36502080699638,5.57756544950808
1810026J23Rik,8.20629258832313,8.36149601137981,8.19377106196858,8.28760587815026,8.1121029419401,8.12424824458664,8.40074644945715,8.2044252431282,8.19853822930687,8.33735113511083,8.31633310778129,8.08730271104871,8.07164613199646,8.13001984785563,7.86150319574056,8.02106140776544,8.07781866712682,7.16497147080772,7.98795116156168,7.98119580743297,8.23162337501442,8.16680650868484,8.1820383365881,8.09433890130069,8.1860735038267,7.93649568828105,7.87823322345268,8.18572525791651,8.42459093846781,8.12448921041802,7.95842883705273,7.86885351721352,8.34523799715869
1810043G02Rik,6.75360462880425,6.95297406256236,6.89002256108121,7.11234540103458,6.80528149759063,7.04303533239369,6.95324530255751,7.15314875236331,7.09177129725207,7.06125949908087,7.03956824079619,7.05670338148993,6.79272788136232,6.87690276976457,7.44684633108469,6.91275754255557,7.17316990995993,7.41317832020982,7.24061973615507,7.21646122597217,7.12717876187057,7.22787101274664,7.290578748767,7.39063791839823,7.21168427006554,7.17984092913005,7.22309809155955,7.16067542980297,6.75540123952146,7.06207799406252,7.11601518585556,6.94437543823406,7.0904720970849
1810055G02Rik,6.79019137709918,6.87791207107932,6.88247066541704,6.84793062657035,6.91897513657941,6.81849910752736,6.57853316938554,6.63156909995938,6.91771323475972,7.00631471632452,6.85114184314162,7.08416380558685,6.80180056811557,6.91575389096744,6.56889142988582,6.98523079602881,6.79342302702554,7.13117950479648,7.33718033877995,7.20548091140182,7.07147108026377,7.24091549462856,6.86784270501486,7.18423112550861,6.95049279883578,7.02462599793942,6.96981755079928,6.85944093330041,7.12264635563102,7.00056677095992,6.7376984135609,7.06568608317966,6.9448959678413
1810064F22Rik,3.93105121696342,5.31756550660618,2.95984696922347,5.16028050480168,4.05269293231686,3.69741412111663,4.0898441941797,4.20523484817012,5.90069361099034,5.71733814082844,5.79106381815319,3.99439237754439,5.19329799867202,5.1714581212534,4.63974657770643,5.28514408796925,5.56432398291596,3.88487630455216,3.76110031076605,3.92303612989954,5.83255829822951,5.3933086991053,5.02165863957963,4.23511842851941,4.50242724711254,4.60790225777729,4.76220408697001,4.73531074037558,4.11078675151754,4.50193798802345,5.04167615789634,4.69669095744618,4.87428404689128
